rerank,filtroApi,listaFiltroApis,acertosCompletos,acertosTop5,erros,totalTestado,acertosNatural,errosNatural,tempo_execucao,modeloChat,modeloClassificador,embedding
True,False,False,737,94,67,963,0,50,1196.8918697834015,qwen2:7b,phi3:3.8b,parametros
True,False,True,737,94,67,963,0,50,1195.6335113048553,qwen2:7b,phi3:3.8b,parametros
True,True,False,295,49,554,963,0,50,1193.2489488124847,qwen2:7b,phi3:3.8b,parametros
True,True,True,727,99,72,963,0,50,1197.4689002037048,qwen2:7b,phi3:3.8b,parametros
False,False,False,809,22,67,963,0,50,1171.2928154468536,qwen2:7b,phi3:3.8b,parametros
False,False,True,809,22,67,963,0,50,1169.2932841777802,qwen2:7b,phi3:3.8b,parametros
False,True,False,332,12,554,963,0,50,1171.1973066329956,qwen2:7b,phi3:3.8b,parametros
False,True,True,808,20,70,963,0,50,1170.1100239753723,qwen2:7b,phi3:3.8b,parametros
True,False,False,737,94,67,963,0,50,1599.1081244945526,gemma4:e4b,gemma4:e4b,parametros
True,False,True,737,94,67,963,0,50,1520.3603568077087,gemma4:e4b,gemma4:e4b,parametros
True,True,False,295,49,554,963,0,50,1498.7013370990753,gemma4:e4b,gemma4:e4b,parametros
True,True,True,729,99,70,963,0,50,1502.8336703777313,gemma4:e4b,gemma4:e4b,parametros
False,False,False,809,22,67,963,0,50,1473.7752950191498,gemma4:e4b,gemma4:e4b,parametros
False,False,True,809,22,67,963,0,50,1475.6419672966003,gemma4:e4b,gemma4:e4b,parametros
False,True,False,332,12,554,963,0,50,1478.6025955677032,gemma4:e4b,gemma4:e4b,parametros
False,True,True,808,20,70,963,0,50,1478.928601026535,gemma4:e4b,gemma4:e4b,parametros
True,False,False,737,94,67,963,0,50,1074.7296001911163,gemma4:e2b,gemma4:e2b,parametros
True,False,True,737,94,67,963,0,50,1066.4254069328308,gemma4:e2b,gemma4:e2b,parametros
True,True,False,295,49,554,963,0,50,1060.4929814338684,gemma4:e2b,gemma4:e2b,parametros
True,True,True,729,99,70,963,0,50,1066.1931216716766,gemma4:e2b,gemma4:e2b,parametros
False,False,False,809,22,67,963,0,50,1039.7527878284454,gemma4:e2b,gemma4:e2b,parametros
False,False,True,809,22,67,963,0,50,1040.5928218364716,gemma4:e2b,gemma4:e2b,parametros
False,True,False,332,12,554,963,0,50,1067.6418495178223,gemma4:e2b,gemma4:e2b,parametros
False,True,True,808,20,70,963,0,50,1092.8204238414764,gemma4:e2b,gemma4:e2b,parametros
True,False,False,807,49,42,963,0,50,1218.1390702724457,qwen2:7b,phi3:3.8b,colunas
True,False,True,807,49,42,963,0,50,1209.8337750434875,qwen2:7b,phi3:3.8b,colunas
True,True,False,333,28,537,963,0,50,1221.3866653442383,qwen2:7b,phi3:3.8b,colunas
True,True,True,803,52,43,963,0,50,1205.1408383846283,qwen2:7b,phi3:3.8b,colunas
False,False,False,830,26,42,963,0,50,1118.8183944225311,qwen2:7b,phi3:3.8b,colunas
False,False,True,830,26,42,963,0,50,1119.7159686088562,qwen2:7b,phi3:3.8b,colunas
False,True,False,346,15,537,963,0,50,1119.374670267105,qwen2:7b,phi3:3.8b,colunas
False,True,True,831,24,43,963,0,50,1138.7927148342133,qwen2:7b,phi3:3.8b,colunas
True,False,False,807,49,42,963,0,50,1765.0272533893585,gemma4:e4b,gemma4:e4b,colunas
True,False,True,807,49,42,963,0,50,1609.6692295074463,gemma4:e4b,gemma4:e4b,colunas
True,True,False,333,28,537,963,0,50,1600.404955148697,gemma4:e4b,gemma4:e4b,colunas
True,True,True,803,52,43,963,0,50,1590.8425405025482,gemma4:e4b,gemma4:e4b,colunas
False,False,False,830,26,42,963,0,50,1501.4428074359894,gemma4:e4b,gemma4:e4b,colunas
False,False,True,830,26,42,963,0,50,1531.5573899745941,gemma4:e4b,gemma4:e4b,colunas
False,True,False,346,15,537,963,0,50,1503.4980335235596,gemma4:e4b,gemma4:e4b,colunas
False,True,True,831,24,43,963,0,50,1467.884049654007,gemma4:e4b,gemma4:e4b,colunas
True,False,False,807,49,42,963,0,50,1170.1156260967255,gemma4:e2b,gemma4:e2b,colunas
True,False,True,807,49,42,963,0,50,1202.8516836166382,gemma4:e2b,gemma4:e2b,colunas
True,True,False,333,28,537,963,0,50,1161.9051604270935,gemma4:e2b,gemma4:e2b,colunas
True,True,True,803,52,43,963,0,50,1200.3624484539032,gemma4:e2b,gemma4:e2b,colunas
False,False,False,830,26,42,963,0,50,1046.9351630210876,gemma4:e2b,gemma4:e2b,colunas
False,False,True,830,26,42,963,0,50,1032.3276669979095,gemma4:e2b,gemma4:e2b,colunas
False,True,False,346,15,537,963,0,50,1031.4837985038757,gemma4:e2b,gemma4:e2b,colunas
False,True,True,831,24,43,963,0,50,1031.0103142261505,gemma4:e2b,gemma4:e2b,colunas
